IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
154.17.17.46,48946,443,true,LAX,North America,US,Los Angeles,150,2.30
2.59.151.128,33557,443,true,LAX,North America,US,Los Angeles,307,2.16
154.17.231.21,52894,443,true,LAX,North America,US,Los Angeles,143,2.12
154.201.73.177,10013,443,true,LAX,North America,US,Los Angeles,141,1.91
154.201.79.223,2333,443,true,LAX,North America,US,Los Angeles,168,1.90
154.21.90.176,42328,443,true,LAX,North America,US,Los Angeles,145,1.73
185.238.248.71,56918,443,true,LAX,North America,US,Los Angeles,283,1.69
154.21.90.176,56057,443,true,LAX,North America,US,Los Angeles,149,1.60
154.17.231.21,38282,443,true,LAX,North America,US,Los Angeles,150,1.48
129.146.46.164,443,443,true,LAX,North America,US,Los Angeles,234,1.40
185.238.248.47,11876,443,true,LAX,North America,US,Los Angeles,289,1.37
154.17.224.71,51447,443,true,LAX,North America,US,Los Angeles,139,1.31
132.226.227.121,443,443,true,LAX,North America,US,Los Angeles,235,1.15
185.238.248.47,55441,443,true,LAX,North America,US,Los Angeles,287,1.08
91.149.239.206,443,443,true,LAX,North America,US,Los Angeles,210,0.98
154.23.207.135,21714,2082,false,LAX,North America,US,Los Angeles,198,0.97
154.201.78.7,23588,443,true,LAX,North America,US,Los Angeles,168,0.94
154.23.247.116,443,443,true,LAX,North America,US,Los Angeles,190,0.79
154.201.78.7,35578,443,true,LAX,North America,US,Los Angeles,169,0.76
154.23.240.232,443,443,true,LAX,North America,US,Los Angeles,174,0.72
72.13.122.137,443,443,true,LAX,North America,US,Los Angeles,198,0.67
38.60.109.124,52782,443,true,LAX,North America,US,Los Angeles,195,0.54
154.21.91.175,587,443,true,LAX,North America,US,Los Angeles,155,0.50
154.201.78.7,33889,443,true,LAX,North America,US,Los Angeles,178,0.42
38.47.239.93,21196,443,true,LAX,North America,US,Los Angeles,168,0.23
216.38.168.34,16384,443,true,LAX,North America,US,Los Angeles,262,0.15
23.166.168.67,13118,443,true,LAX,North America,US,Los Angeles,170,0.10
23.225.195.46,14369,443,true,LAX,North America,US,Los Angeles,166,0.08
154.17.237.56,26749,443,true,LAX,North America,US,Los Angeles,139,0.05
154.17.9.35,882,443,true,LAX,North America,US,Los Angeles,151,0.03
165.154.36.49,34237,2096,true,LAX,North America,US,Los Angeles,200,0.00
166.0.188.128,57183,443,true,LAX,North America,US,Los Angeles,140,0.00
