IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
154.23.241.9,13725,443,true,LAX,North America,US,Los Angeles,176,2.58
138.3.215.233,443,443,true,LAX,North America,US,Los Angeles,186,2.57
154.23.247.116,443,443,true,LAX,North America,US,Los Angeles,165,2.54
154.17.239.70,15572,443,true,LAX,North America,US,Los Angeles,139,2.46
103.99.178.62,31940,443,true,LAX,North America,US,Los Angeles,222,2.44
154.201.73.177,10023,443,true,LAX,North America,US,Los Angeles,142,2.24
154.201.73.177,10004,443,true,LAX,North America,US,Los Angeles,141,2.22
141.147.171.21,443,443,true,LAX,North America,US,Los Angeles,277,2.15
202.91.35.239,37963,443,true,LAX,North America,US,Los Angeles,188,2.10
216.38.168.196,41118,443,true,LAX,North America,US,Los Angeles,269,2.01
154.21.90.176,43144,443,true,LAX,North America,US,Los Angeles,149,1.95
158.101.95.3,443,443,true,LAX,North America,US,Los Angeles,310,1.95
38.47.117.77,443,443,true,LAX,North America,US,Los Angeles,145,1.86
38.47.117.49,31146,443,true,LAX,North America,US,Los Angeles,151,1.74
149.88.88.19,24902,443,true,LAX,North America,US,Los Angeles,140,1.71
45.154.15.138,11346,443,true,LAX,North America,US,Los Angeles,40,1.62
154.17.231.21,52894,443,true,LAX,North America,US,Los Angeles,141,1.52
154.201.79.223,2333,443,true,LAX,North America,US,Los Angeles,166,1.51
154.208.9.253,30727,443,true,LAX,North America,US,Los Angeles,175,1.47
154.23.207.135,21714,2082,false,LAX,North America,US,Los Angeles,172,1.15
202.91.35.102,27911,443,true,LAX,North America,US,Los Angeles,195,1.06
149.88.88.91,48444,443,true,LAX,North America,US,Los Angeles,141,0.97
154.201.78.7,12826,443,true,LAX,North America,US,Los Angeles,170,0.94
154.201.78.7,16351,443,true,LAX,North America,US,Los Angeles,177,0.94
154.201.78.7,57671,443,true,LAX,North America,US,Los Angeles,164,0.94
107.148.42.163,443,443,true,LAX,North America,US,Los Angeles,178,0.88
154.201.78.7,33889,443,true,LAX,North America,US,Los Angeles,176,0.79
154.26.182.32,443,443,true,LAX,North America,US,Los Angeles,148,0.75
118.194.229.51,11534,80,false,LAX,North America,US,Los Angeles,110,0.60
